,POINT_X,POINT_Y,Ca
17007,755601.489763819,7519860.824874372,32.600313695623015
17008,755622.7517015075,7519860.824874372,34.62342542233649
17009,755644.0136391959,7519860.824874372,36.92872147185827
17010,755665.2755768844,7519860.824874372,39.56579935405151
17011,755686.5375145728,7519860.824874372,42.58225068523283
17012,755707.7994522613,7519860.824874372,46.00413053302988
17013,755729.0613899498,7519860.824874372,49.790701825272954
17014,755750.3233276382,7519860.824874372,53.74811588657454
17015,755771.5852653265,7519860.824874372,57.41774882123602
17016,755792.847203015,7519860.824874372,60.06690984451424
17017,755814.1091407035,7519860.824874372,60.99743309170891
17018,755835.3710783919,7519860.824874372,60.04127041521917
17019,755856.6330160804,7519860.824874372,57.61729878397499
17020,755877.8949537688,7519860.824874372,54.27061219147706
17021,755899.1568914573,7519860.824874372,50.324236258229256
17022,755920.4188291457,7519860.824874372,45.89160153498116
17023,755941.6807668342,7519860.824874372,41.11346158150368
17024,755962.9427045226,7519860.824874372,36.59575655955823
17025,755984.204642211,7519860.824874372,33.73249020053752
17026,756005.4665798994,7519860.824874372,33.53587669468473
17027,756026.7285175879,7519860.824874372,35.1223443414589
17028,756047.9904552763,7519860.824874372,37.088173835103
17029,756069.2523929648,7519860.824874372,38.82647082682735
17030,756090.5143306532,7519860.824874372,40.294732820764956
17031,756111.7762683417,7519860.824874372,41.60027624760349
17032,756133.0382060301,7519860.824874372,42.778472422518384
17033,756154.3001437186,7519860.824874372,43.73836124136662
17034,756175.562081407,7519860.824874372,44.32529198328998
17035,756196.8240190954,7519860.824874372,44.393258356167465
17036,756218.0859567838,7519860.824874372,43.86195695546554
17037,756239.3478944723,7519860.824874372,42.77573984029165
17038,756260.6098321608,7519860.824874372,41.283521580802656
17039,756281.8717698492,7519860.824874372,39.553113368724865
17040,756303.1337075377,7519860.824874372,37.724764299419405
17041,756324.3956452261,7519860.824874372,35.90655668042044
17042,756345.6575829146,7519860.824874372,34.1954795888737
17043,756366.919520603,7519860.824874372,32.72758679052268
17044,756388.1814582915,7519860.824874372,31.75292557926852
17045,756409.4433959798,7519860.824874372,31.63919976295682
17046,756430.7053336683,7519860.824874372,32.60748314276168
17047,756451.9672713567,7519860.824874372,34.449397167408556
17048,756473.2292090452,7519860.824874372,36.670726230976186
17049,756494.4911467336,7519860.824874372,38.61427953976205
17050,756515.7530844221,7519860.824874372,39.59060358082599
