,POINT_X,POINT_Y,Ca
116,757919.0409718592,7518688.85,4.975360279023492
117,757940.3029095477,7518688.85,4.886167724042753
118,757961.5648472361,7518688.85,4.8125534623278
119,757982.8267849246,7518688.85,4.7530437060959425
120,758004.088722613,7518688.85,4.706074302430323
121,758025.3506603015,7518688.85,4.6701634412302555
122,758046.61259799,7518688.85,4.644026736235711
123,758067.8745356784,7518688.85,4.626630884551551
124,758089.1364733669,7518688.85,4.617193604806365
125,758110.3984110552,7518688.85,4.615145124236363
126,758131.6603487437,7518688.85,4.6200681501689
127,758152.9222864321,7518688.85,4.631630665172234
128,758174.1842241206,7518688.85,4.649521691905562
129,758195.446161809,7518688.85,4.673396278628271
130,758216.7080994975,7518688.85,4.702833090107771
131,758237.9700371859,7518688.85,4.737306084708171
132,758259.2319748744,7518688.85,4.776170453295723
